App;Spend in USD;3D ROAS;7D ROAS;14D ROAS;30D ROAS;90D ROAS;Impressions;Clicks;Installs;CTR;Install Rate;eCPC;eCPM;1D Retention;3D Retention;7D Retention;3D Total Revenue;7D Total Revenue;14D Total Revenue;30D Total Revenue;90D Total Revenue
gross zit;1.19;33.83;33.83;33.83;33.83;33.83;167;41;3;24.55;7.32;0.03;7.13;0;100;0;0.4;0.4;0.4;0.4;0.4
unitedgp;1.19;0;0;8.32;8.96;8.96;217;4;3;1.84;75;0.3;5.48;100;0;0;0;0;0.1;0.11;0.11
adventurecraft;1.19;0;0;0;0;0;532;17;4;3.2;23.53;0.07;2.24;0;0;0;0;0;0;0;0
Breakneck iOS;1.18;0;0;0;0;0;1;1;1;100;100;1.18;1180;0;100;0;0;0;0;0;0
99tan;1.18;0;0;0;0;0;1;1;1;100;100;1.18;1180;100;0;0;0;0;0;0;0
oopstacles;1.18;0;0;0;0;0;1;1;1;100;100;1.18;1180;0;0;0;0;0;0;0;0
MinesweeperOnline¥__iOSÎ__è¿_èÂó¥__;1.18;0;0;0;0;0;1;1;1;100;100;1.18;1180;0;100;0;0;0;0;0;0
kickerinho w.;1.18;0;743.21;743.21;743.21;743.21;2;1;1;50;100;1.18;590;0;0;0;0;8.77;8.77;8.77;8.77
final shift;1.18;0;0;0;0;0;2;1;1;50;100;1.18;590;0;0;0;0;0;0;0;0
sandboxspaddy;1.18;0;0;0;0;0;3;1;1;33.33;100;1.18;393.33;0;0;0;0;0;0;0;0
Orbit's Way;1.18;167.8;167.8;167.8;167.8;167.8;3;1;1;33.33;100;1.18;393.33;100;0;0;1.98;1.98;1.98;1.98;1.98
modern sniper combat : bullet assault force;1.18;0;0;0;0;0;3;1;1;33.33;100;1.18;393.33;100;0;0;0;0;0;0;0
super?market:?fashion?store?&?dress-up?girls?game;1.18;0;0;0;0;0;5;1;1;20;100;1.18;236;100;100;0;0;0;0;0;0
Snake Battle;1.18;1741.81;4625.87;4659.43;4659.43;4659.43;5;2;1;40;50;0.59;236;100;100;0;20.55;54.59;54.98;54.98;54.98
clock hop;1.18;0;0;0;0;0;6;1;1;16.67;100;1.18;196.67;0;100;0;0;0;0;0;0
cross moto free;1.18;83.9;223.73;223.73;223.73;223.73;7;2;1;28.57;50;0.59;168.57;100;0;0;0.99;2.64;2.64;2.64;2.64
com.minglianz.snakeblock;1.18;0;0;0;0;0;8;2;1;25;50;0.59;147.5;0;0;0;0;0;0;0;0
Piece Out;1.18;0;0;0;0;0;8;1;1;12.5;100;1.18;147.5;100;0;0;0;0;0;0;0
lost island survival 2;1.18;0;55.93;83.9;128.64;128.64;10;1;1;10;100;1.18;118;0;100;0;0;0.66;0.99;1.52;1.52
odin2CN;1.18;0;0;0;0;0;10;1;1;10;100;1.18;118;0;0;0;0;0;0;0;0
candy carnival;1.18;0;0;0;0;0;11;3;1;27.27;33.33;0.39;107.27;0;0;0;0;0;0;0;0
super senso;1.18;0;0;0;0;0;13;1;1;7.69;100;1.18;90.77;0;0;0;0;0;0;0;0
spotlight room escape;1.18;0;0;0;33.56;33.56;15;1;1;6.67;100;1.18;78.67;100;100;0;0;0;0;0.4;0.4
mots;1.18;0;0;0;0;0;15;3;1;20;33.33;0.39;78.67;0;0;0;0;0;0;0;0
Barrel Blast;1.18;0;83.9;83.9;272.95;272.95;18;5;1;27.78;20;0.24;65.56;0;0;0;0;0.99;0.99;3.22;3.22
puzzle bump;1.18;0;0;0;0;0;19;1;1;5.26;100;1.18;62.11;0;0;0;0;0;0;0;0
Like a Fashionista;1.18;0;0;0;0;0;20;1;1;5;100;1.18;59;100;0;0;0;0;0;0;0
Blocksworld;1.18;0;0;0;0;0;21;4;1;19.05;25;0.3;56.19;0;0;0;0;0;0;0;0
! My Talking Kitty Cat - Virtual Pet;1.18;0;0;0;0;0;22;3;1;13.64;33.33;0.39;53.64;0;0;0;0;0;0;0;0
turtle evolution;1.18;0;0;0;0;0;23;2;1;8.7;50;0.59;51.3;0;0;0;0;0;0;0;0
guns.io;1.18;2687.56;3450.54;3450.54;3450.54;3450.54;23;1;1;4.35;100;1.18;51.3;100;100;0;31.71;40.72;40.72;40.72;40.72
Dash till Puff 2;1.18;0;0;0;0;0;28;1;1;3.57;100;1.18;42.14;100;0;0;0;0;0;0;0
Cliff Hopper;1.18;0;0;0;0;0;34;4;1;11.76;25;0.3;34.71;0;0;0;0;0;0;0;0
zombiebasketball;1.18;0;0;0;0;0;34;3;1;8.82;33.33;0.39;34.71;100;0;0;0;0;0;0;0
ÔÁÖê_©ÒìæÕùå_IOS;1.18;0;0;0;0;0;37;1;1;2.7;100;1.18;31.89;100;0;0;0;0;0;0;0
crazy kings;1.18;30.76;30.76;30.76;30.76;30.76;41;2;1;4.88;50;0.59;28.78;0;0;0;0.36;0.36;0.36;0.36;0.36
ggtan;1.18;0;0;0;0;0;42;3;1;7.14;33.33;0.39;28.1;100;0;0;0;0;0;0;0
Coin Dozer: Haunted - iOS (GC);1.18;0;0;0;0;0;43;1;1;2.33;100;1.18;27.44;0;0;100;0;0;0;0;0
snail.io;1.18;92.29;92.29;181.78;181.78;181.78;47;8;2;17.02;25;0.15;25.11;100;0;0;1.09;1.09;2.15;2.15;2.15
subwayrunner;1.18;0;0;0;0;0;47;3;1;6.38;33.33;0.39;25.11;100;0;0;0;0;0;0;0
Castaway;1.18;0;0;0;0;0;48;2;1;4.17;50;0.59;24.58;0;0;0;0;0;0;0;0
standoff;1.18;0;0;0;0;0;50;3;1;6;33.33;0.39;23.6;0;0;0;0;0;0;0;0
island exotic;1.18;0;0;0;0;0;54;3;1;5.56;33.33;0.39;21.85;0;0;0;0;0;0;0;0
vikings;1.18;0;0;0;0;0;61;2;1;3.28;50;0.59;19.34;0;0;0;0;0;0;0;0
Ò_ïÔƒ‹êŸÁÒ‰å ê_óÔÇ_Ò†ù;1.18;0;0;0;0;0;62;8;1;12.9;12.5;0.15;19.03;0;0;0;0;0;0;0;0
bbtan : wide;1.18;27.97;27.97;27.97;27.97;27.97;65;4;1;6.15;25;0.3;18.15;100;100;0;0.33;0.33;0.33;0.33;0.33
wedding;1.18;0;0;0;0;0;66;12;2;18.18;16.67;0.1;17.88;100;0;0;0;0;0;0;0
dunk a lot;1.18;0;0;11.19;11.19;11.19;68;3;1;4.41;33.33;0.39;17.35;0;100;0;0;0;0.13;0.13;0.13
infinite word search;1.18;0;0;0;0;0;75;2;1;2.67;50;0.59;15.73;100;0;0;0;0;0;0;0
towerconquest;1.18;44.75;44.75;44.75;44.75;44.75;76;4;1;5.26;25;0.3;15.53;100;0;0;0.53;0.53;0.53;0.53;0.53
spotlight room escape;1.18;0;0;156.61;156.61;156.61;77;1;1;1.3;100;1.18;15.32;100;0;0;0;0;1.85;1.85;1.85
NinJump HD;1.18;0;0;0;0;0;79;14;1;17.72;7.14;0.08;14.94;0;0;0;0;0;0;0;0
Match Form;1.18;16.78;16.78;16.78;16.78;16.78;80;17;2;21.25;11.76;0.07;14.75;100;50;0;0.2;0.2;0.2;0.2;0.2
mr jump s;1.18;0;0;0;0;0;84;13;1;15.48;7.69;0.09;14.05;0;0;0;0;0;0;0;0
2017 soccer physics 2 player jumping sports games;1.18;0;0;0;0;0;90;8;2;8.89;25;0.15;13.11;0;0;0;0;0;0;0;0
pawn stars;1.18;0;0;0;0;0;102;2;1;1.96;50;0.59;11.57;100;100;0;0;0;0;0;0
com.tapnext.brainmarathon;1.18;0;72.71;90.05;127.53;127.53;107;33;4;30.84;12.12;0.04;11.03;0;0;0;0;0.86;1.06;1.5;1.5
jewels temple quest;1.18;0;111.86;111.86;111.86;111.86;196;6;1;3.06;16.67;0.2;6.02;0;0;0;0;1.32;1.32;1.32;1.32
Bit Heroes iOS;1.18;0;0;27.97;27.97;27.97;291;5;1;1.72;20;0.24;4.05;0;0;100;0;0;0.33;0.33;0.33
Dunkz;1.18;0;0;0;0;0;313;27;1;8.63;3.7;0.04;3.77;0;0;0;0;0;0;0;0
Age of 2048_iOS_2;1.18;0;0;0;0;0;317;6;1;1.89;16.67;0.2;3.72;100;0;0;0;0;0;0;0
cake maker3d;1.18;22.37;22.37;39.15;39.15;39.15;414;95;6;22.95;6.32;0.01;2.85;0;0;0;0.26;0.26;0.46;0.46;0.46
drop assault;1.18;0;0;0;0;0;1277;11;1;0.86;9.09;0.11;0.92;0;100;0;0;0;0;0;0
Jewel Mania;1.18;0;0;363.56;475.42;485.49;4251;31;1;0.73;3.23;0.04;0.28;0;100;0;0;0;4.29;5.61;5.73
twix.io iOS;1.17;0;0;0;0;0;28;16;3;57.14;18.75;0.07;41.79;0;0;0;0;0;0;0;0
build craft;1.17;0;0;0;0;0;30;7;2;23.33;28.57;0.17;39;0;0;0;0;0;0;0;0
Ball-Hop Bowling;1.17;0;0;0;0;0;112;72;4;64.29;5.56;0.02;10.45;100;0;0;0;0;0;0;0
freeblade;1.17;63.53;63.53;63.53;63.53;63.53;170;46;3;27.06;6.52;0.03;6.88;0;100;0;0.74;0.74;0.74;0.74;0.74
first crush;1.17;0;0;0;0;0;276;46;4;16.67;8.7;0.03;4.24;0;0;0;0;0;0;0;0
aa;1.17;8.46;8.46;8.46;8.46;8.46;608;16;4;2.63;25;0.07;1.92;0;0;0;0.1;0.1;0.1;0.1;0.1
sugar craft;1.16;0;0;0;0;0;71;19;2;26.76;10.53;0.06;16.34;100;0;0;0;0;0;0;0
WWE Champions iOS;1.16;0;36.41;36.41;79.09;79.09;110;18;3;16.36;16.67;0.06;10.55;0;0;0;0;0.42;0.42;0.92;0.92
chef pair;1.16;0.39;0.39;0.39;0.39;0.39;143;40;4;27.97;10;0.03;8.11;0;0;0;0;0;0;0;0
2048;1.16;5.69;5.69;5.69;5.69;5.69;1642;309;4;18.82;1.29;0;0.71;33.3;0;0;0.07;0.07;0.07;0.07;0.07
Spider;1.16;42.67;433.14;433.14;433.14;433.14;4107;759;3;18.48;0.4;0;0.28;100;0;0;0.5;5.02;5.02;5.02;5.02
Kill The Ragdoll;1.15;17.22;17.22;17.22;17.22;17.22;8;3;2;37.5;66.67;0.38;143.75;100;0;0;0.2;0.2;0.2;0.2;0.2
western epic battle;1.15;0;0;0;0;0;13;10;2;76.92;20;0.12;88.46;100;0;0;0;0;0;0;0
traffic fighter;1.15;0;0;0;0;0;17;7;2;41.18;28.57;0.16;67.65;0;0;100;0;0;0;0;0
Best Brokers (PRO);1.15;0;0;0;0;0;31;1;2;3.23;200;1.15;37.1;0;50;0;0;0;0;0;0
Ball King;1.15;0;0;0;0;0;50;4;2;8;50;0.29;23;100;0;0;0;0;0;0;0
music tiles;1.15;0;0;0;0;0;86;41;3;47.67;7.32;0.03;13.37;100;100;0;0;0;0;0;0
West (test);1.15;0;0;0;0;0;89;6;2;6.74;33.33;0.19;12.92;0;0;100;0;0;0;0;0
Rival Stars College Football iOS;1.15;0;0;0;0;0;104;4;2;3.85;50;0.29;11.06;0;0;0;0;0;0;0;0
dtm;1.15;0;0;0;0;0;114;48;3;42.11;6.25;0.02;10.09;100;100;0;0;0;0;0;0
slav tiles;1.15;178.49;178.49;178.49;608.92;608.92;161;52;4;32.3;7.69;0.02;7.14;100;0;0;2.05;2.05;2.05;7;7
Dashy Dashers;1.15;40.17;40.17;40.17;40.17;40.17;162;73;5;45.06;6.85;0.02;7.1;50;100;100;0.46;0.46;0.46;0.46;0.46
Bio Inc.;1.15;17.56;17.56;43.39;43.39;43.39;310;19;4;6.13;21.05;0.06;3.71;100;100;0;0.2;0.2;0.5;0.5;0.5
Slip Away;1.15;20.09;20.09;51.65;51.65;51.65;440;181;4;41.14;2.21;0.01;2.61;0;100;0;0.23;0.23;0.59;0.59;0.59
quidd;1.15;28.7;28.7;69.44;69.44;69.44;655;12;4;1.83;33.33;0.1;1.76;0;0;0;0.33;0.33;0.8;0.8;0.8
020.HAMMER'S QUEST;1.14;0;0;0;0;0;1;1;1;100;100;1.14;1140;0;0;0;0;0;0;0;0
defend the planet;1.14;0;0;0;0;0;1;1;1;100;100;1.14;1140;0;0;0;0;0;0;0;0
moji trivia;1.14;0;0;0;0;0;2;1;1;50;100;1.14;570;0;0;0;0;0;0;0;0
Guess Color;1.14;0;0;0;0;0;3;1;1;33.33;100;1.14;380;0;0;0;0;0;0;0;0
ZombieLife;1.14;0;0;0;0;0;3;1;1;33.33;100;1.14;380;0;0;0;0;0;0;0;0
Mucho Taco;1.14;0;0;0;0;0;4;1;1;25;100;1.14;285;100;0;0;0;0;0;0;0
robot evolution;1.14;0;0;0;0;0;4;2;1;50;50;0.57;285;0;0;0;0;0;0;0;0
school kids bmx cycle racing;1.14;0;0;0;0;0;4;1;1;25;100;1.14;285;0;0;0;0;0;0;0;0
traffic racing;1.14;0;0;0;0;0;5;2;2;40;100;0.57;228;0;0;0;0;0;0;0;0
pixel combat: zombies strike;1.14;0;0;0;0;0;6;0;1;0;0;0;190;0;0;0;0;0;0;0;0
Fat No More;1.14;0;0;0;0;0;6;3;1;50;33.33;0.38;190;0;0;0;0;0;0;0;0
Lucky Day iOS;1.14;0;0;0;0;0;6;2;1;33.33;50;0.57;190;0;0;0;0;0;0;0;0
motor boat;1.14;0;0;0;0;0;7;3;1;42.86;33.33;0.38;162.86;100;100;0;0;0;0;0;0
super fashion show;1.14;0;0;0;0;0;14;2;1;14.29;50;0.57;81.43;0;0;0;0;0;0;0;0
realmcraft;1.14;0;0;0;0;0;14;4;1;28.57;25;0.29;81.43;0;0;0;0;0;0;0;0
TacAssassin;1.14;57.89;57.89;57.89;57.89;57.89;15;1;1;6.67;100;1.14;76;100;0;0;0.66;0.66;0.66;0.66;0.66
Wordgrams iOS;1.14;0;0;0;0;0;15;1;1;6.67;100;1.14;76;0;0;0;0;0;0;0;0
chicken evolution;1.14;69.47;69.47;69.47;69.47;69.47;17;3;2;17.65;66.67;0.38;67.06;0;100;0;0.79;0.79;0.79;0.79;0.79
MX Dirt Bike Racing Free;1.14;0;0;0;0;0;18;3;1;16.67;33.33;0.38;63.33;0;0;0;0;0;0;0;0
fluffy jump;1.14;0;0;0;0;0;19;3;1;15.79;33.33;0.38;60;0;0;0;0;0;0;0;0
bouncy hero;1.14;0;0;0;0;0;19;2;1;10.53;50;0.57;60;0;0;0;0;0;0;0;0
crafter;1.14;0;0;0;0;0;20;1;1;5;100;1.14;57;0;0;0;0;0;0;0;0
findthebalance;1.14;0;0;0;0;0;22;4;1;18.18;25;0.29;51.82;0;0;0;0;0;0;0;0
Corny!;1.14;0;0;0;0;0;26;3;1;11.54;33.33;0.38;43.85;0;0;0;0;0;0;0;0
Mikey Jumps;1.14;0;0;0;0;0;29;7;1;24.14;14.29;0.16;39.31;0;0;0;0;0;0;0;0
Skateboard Party 3 Lite;1.14;0;0;0;0;0;29;4;1;13.79;25;0.29;39.31;0;0;0;0;0;0;0;0
chameleon evolution;1.14;0;0;0;0;0;31;1;1;3.23;100;1.14;36.77;100;100;0;0;0;0;0;0
fitness girl;1.14;0;0;0;0;0;38;5;1;13.16;20;0.23;30;0;0;0;0;0;0;0;0
Mega Jump;1.14;0;0;0;0;0;39;1;1;2.56;100;1.14;29.23;0;0;0;0;0;0;0;0
Logo?;1.14;0;0;0;0;0;39;4;1;10.26;25;0.29;29.23;0;0;0;0;0;0;0;0
food street;1.14;0;0;0;0;0;51;2;1;3.92;50;0.57;22.35;0;0;0;0;0;0;0;0
schoolcrush;1.14;0;0;339.84;339.84;339.84;57;4;1;7.02;25;0.29;20;0;0;0;0;0;3.87;3.87;3.87
HS Story.i;1.14;0;0;0;0;0;63;2;1;3.17;50;0.57;18.1;0;0;0;0;0;0;0;0
toydefense 3;1.14;0;0;0;0;0;81;3;1;3.7;33.33;0.38;14.07;0;0;0;0;0;0;0;0
weddingsalon2.ios;1.14;0;0;0;0;0;87;3;1;3.45;33.33;0.38;13.1;0;0;0;0;0;0;0;0
bob the robber 4;1.14;327.68;327.68;327.68;327.68;327.68;92;34;5;36.96;14.71;0.03;12.39;100;100;0;3.74;3.74;3.74;3.74;3.74
Î_óÎË€________ê Anipop;1.14;0;0;112.68;391.26;391.26;96;3;1;3.13;33.33;0.38;11.88;0;0;0;0;0;1.28;4.46;4.46
tunnel rush;1.14;0;0;0;0;0;105;7;1;6.67;14.29;0.16;10.86;0;0;0;0;0;0;0;0
com.mobiray.caseopener;1.14;0;0;3.47;3.47;3.47;125;37;4;29.6;10.81;0.03;9.12;100;100;100;0;0;0.04;0.04;0.04
followers;1.14;0;0;0;0;0;137;1;1;0.73;100;1.14;8.32;0;0;0;0;0;0;0;0
fashion girl;1.14;0;75.26;169.05;198;198;143;48;4;33.57;8.33;0.02;7.97;0;100;0;0;0.86;1.93;2.26;2.26
_£__ì_Î____Ö;1.14;0;0;0;0;0;146;16;1;10.96;6.25;0.07;7.81;0;0;0;0;0;0;0;0
net.rt7.Qriket-Game;1.14;0;0;0;0;0;147;4;1;2.72;25;0.29;7.76;0;0;0;0;0;0;0;0
jungle animal hair salon;1.14;0;0;0;0;0;149;12;1;8.05;8.33;0.1;7.65;0;0;0;0;0;0;0;0
weddingsalon;1.14;0;0;0;0;0;206;3;1;1.46;33.33;0.38;5.53;0;0;0;0;0;0;0;0
wordmania;1.14;0;0;0;0;0;206;7;1;3.4;14.29;0.16;5.53;0;0;0;0;0;0;0;0
parkingmania;1.14;0;0;0;0;0;220;4;1;1.82;25;0.29;5.18;0;0;0;0;0;0;0;0
worldcraft exploration;1.14;5.79;5.79;5.79;5.79;5.79;226;86;3;38.05;3.49;0.01;5.04;0;0;100;0.07;0.07;0.07;0.07;0.07
Bil ve Fethet;1.14;12.28;12.28;12.28;12.28;12.28;259;15;3;5.79;20;0.08;4.4;0;0;0;0.14;0.14;0.14;0.14;0.14
tv.yaqua.crosswords;1.14;0;0;0;0;0;304;2;1;0.66;50;0.57;3.75;100;100;0;0;0;0;0;0
cake maker3d;1.14;0;0;0;0;0;498;104;5;20.88;4.81;0.01;2.29;0;0;0;0;0;0;0;0
reactor;1.14;15.05;29.53;29.53;29.53;29.53;997;3;4;0.3;133.33;0.38;1.14;0;0;100;0.17;0.34;0.34;0.34;0.34
iBaloot-iOS-AppLovin-Interstatial;1.14;47.76;47.76;53.55;131.71;131.71;2753;162;8;5.88;4.94;0.01;0.41;0;66.7;0;0.54;0.54;0.61;1.5;1.5
hardway;1.13;0;0;0;0.33;0.33;53;10;2;18.87;20;0.11;21.32;100;0;0;0;0;0;0;0
umapri_en_iOS;1.13;29.2;29.2;29.2;29.2;29.2;82;11;3;13.41;27.27;0.1;13.78;100;100;0;0.33;0.33;0.33;0.33;0.33
Î_óÎË€________ê Anipop;1.13;0;0;0;0;0;426;45;2;10.56;4.44;0.03;2.65;0;0;0;0;0;0;0;0
family guy;1.13;0;35.04;64.25;64.25;64.25;570;8;3;1.4;37.5;0.14;1.98;0;0;0;0;0.4;0.73;0.73;0.73
4 Pics 1 Song - iOS (GC);1.12;0;0;0;5.89;5.89;44;8;4;18.18;50;0.14;25.45;100;50;0;0;0;0;0.07;0.07
castaway cove;1.12;0;0;29.46;44.2;44.2;51;5;3;9.8;60;0.22;21.96;100;50;0;0;0;0.33;0.5;0.5
spin to fit;1.12;0;0;0;0;0;85;15;4;17.65;26.67;0.07;13.18;100;0;0;0;0;0;0;0
Wordix;1.12;18.27;21.8;24.75;24.75;24.75;98;8;2;8.16;25;0.14;11.43;100;0;0;0.2;0.24;0.28;0.28;0.28
mr flap;1.12;0;0;0;0;0;107;7;3;6.54;42.86;0.16;10.47;0;0;0;0;0;0;0;0
little doctor;1.12;0;0;0;0;0;160;22;3;13.75;13.64;0.05;7;0;0;0;0;0;0;0;0
Blackjack;1.12;0;0;0;0;0;194;38;3;19.59;7.89;0.03;5.77;0;0;0;0;0;0;0;0
russian rider online;1.12;0;0;0;0;0;352;21;7;5.97;33.33;0.05;3.18;0;0;0;0;0;0;0;0
tv.yaqua.crosswords;1.12;24.16;24.16;24.16;24.16;24.16;559;64;2;11.45;3.13;0.02;2;0;100;0;0.27;0.27;0.27;0.27;0.27
tank.io;1.11;0;0;0;0;0;27;10;2;37.04;20;0.11;41.11;0;0;0;0;0;0;0;0
mr flap;1.11;0;0;0;0;0;47;8;2;17.02;25;0.14;23.62;0;0;0;0;0;0;0;0
draw rider;1.11;0;14.86;38.65;38.65;38.65;51;13;2;25.49;15.38;0.09;21.76;0;100;100;0;0.17;0.43;0.43;0.43
my ice cream world;1.11;0;0;0;0;0;54;7;3;12.96;42.86;0.16;20.56;0;0;0;0;0;0;0;0
zombiebasketball;1.11;3.57;3.57;9.51;9.51;15.46;57;5;2;8.77;40;0.22;19.47;0;100;0;0.04;0.04;0.11;0.11;0.17
Road Warriors;1.11;44.59;44.59;44.59;44.59;44.59;122;34;3;27.87;8.82;0.03;9.1;100;0;0;0.5;0.5;0.5;0.5;0.5
rail nation;1.11;0;0;0;0;0;159;6;3;3.77;50;0.19;6.98;100;0;0;0;0;0;0;0
jewel fever - jewel match 3 games;1.11;26.76;104.05;115.95;165.89;177.78;436;26;5;5.96;19.23;0.04;2.55;0;0;33.3;0.3;1.16;1.29;1.84;1.97
free music;1.11;309.76;309.76;339.49;339.49;339.49;1641;12;4;0.73;33.33;0.09;0.68;0;0;0;3.44;3.44;3.77;3.77;3.77
X Not Available;1.1;0;0;0;0;0;32;7;2;21.88;28.57;0.16;34.38;100;100;0;0;0;0;0;0
hill destruction;1.1;0;0;0;39;39;34;4;2;11.76;50;0.28;32.35;0;0;100;0;0;0;0.43;0.43
doodle movies;1.1;36;36;36;36;36;352;11;6;3.13;54.55;0.1;3.13;0;100;0;0.4;0.4;0.4;0.4;0.4
puzzles & ...;1.1;31.8;31.8;31.8;31.8;31.8;5782;57;2;0.99;3.51;0.02;0.19;100;0;0;0.35;0.35;0.35;0.35;0.35
Piano iOS Xmas;1.09;0;0;0;0;0;18;9;2;50;22.22;0.12;60.56;0;0;0;0;0;0;0;0
buildy blocks;1.09;0;0;0;0;0;43;8;3;18.6;37.5;0.14;25.35;100;0;100;0;0;0;0;0
Crazy Taxi 4.i;1.09;0;0;0;0;0;72;19;3;26.39;15.79;0.06;15.14;0;100;0;0;0;0;0;0
No Brakes io: iOS;1.09;15.14;15.14;42.39;42.39;42.39;80;5;2;6.25;40;0.22;13.63;100;0;0;0.17;0.17;0.46;0.46;0.46
Real Bouncy Basketball;1.09;0;0;0;0;0;236;8;5;3.39;62.5;0.14;4.62;0;0;0;0;0;0;0;0
_£__ì_Î____Ö;1.09;24.22;24.22;24.22;24.22;24.22;277;15;4;5.42;26.67;0.07;3.94;50;0;0;0.26;0.26;0.26;0.26;0.26
fairway;1.09;0;0;6.06;6.06;6.06;436;14;4;3.21;28.57;0.08;2.5;0;33.3;0;0;0;0.07;0.07;0.07
twodots;1.09;51.1;78.35;90.46;90.46;90.46;766;28;5;3.66;17.86;0.04;1.42;100;0;0;0.56;0.85;0.99;0.99;0.99
com.galacticthumb.dropd;1.08;26.44;26.44;118.11;118.11;118.11;42;21;2;50;9.52;0.05;25.71;100;0;0;0.29;0.29;1.28;1.28;1.28
o k a y ?;1.08;39.72;39.72;39.72;39.72;39.72;57;8;4;14.04;50;0.14;18.95;33.3;100;0;0.43;0.43;0.43;0.43;0.43
pocket snap;1.08;0;0;0;0;0;59;10;3;16.95;30;0.11;18.31;0;100;0;0;0;0;0;0
Loop Drive;1.08;0;0;0;0;0;88;5;2;5.68;40;0.22;12.27;0;0;0;0;0;0;0;0
dream crafter;1.08;0;15.28;15.28;15.28;15.28;121;38;3;31.4;7.89;0.03;8.93;0;0;0;0;0.17;0.17;0.17;0.17
dolphy dash;1.08;0;0;0;0;0;347;156;3;44.96;1.92;0.01;3.11;0;0;0;0;0;0;0;0
ant smasher;1.08;0;0;0;0;0;648;227;5;35.03;2.2;0;1.67;0;0;0;0;0;0;0;0
charles2;1.07;0;0;0;92.52;92.52;32;10;2;31.25;20;0.11;33.44;0;0;0;0;0;0;0.99;0.99
bottle flip;1.07;0;0;0;0;0;45;6;4;13.33;66.67;0.18;23.78;50;0;0;0;0;0;0;0
pixel combat: zombies strike;1.07;38.86;38.86;38.86;38.86;38.86;46;9;5;19.57;55.56;0.12;23.26;100;0;0;0.42;0.42;0.42;0.42;0.42
stick tennis;1.07;35.78;35.78;35.78;51.2;51.2;170;17;5;10;29.41;0.06;6.29;0;100;0;0.38;0.38;0.38;0.55;0.55
Fun Run Arena;1.07;0;0;0;0;0;192;11;3;5.73;27.27;0.1;5.57;0;0;100;0;0;0;0;0
tu pre?fe?res;1.07;0;0;0;0;0;364;98;4;26.92;4.08;0.01;2.94;0;0;0;0;0;0;0;0
roller coaster ride water park adventure;1.06;0;0;0;0;0;30;18;2;60;11.11;0.06;35.33;0;0;100;0;0;0;0;0
Pixel Volley;1.06;0;0;0;0;0;44;11;3;25;27.27;0.1;24.09;0;0;0;0;0;0;0;0
???? ?? ? ??;1.06;0;0;0;0;0;45;9;4;20;44.44;0.12;23.56;100;0;0;0;0;0;0;0
New Yahtzee with Buddies;1.06;0;0;61.64;61.64;61.64;148;4;3;2.7;75;0.27;7.16;0;100;100;0;0;0.65;0.65;0.65
full of stars;1.06;0;0;0;56.04;87.17;239;10;2;4.18;20;0.11;4.44;100;0;0;0;0;0;0.59;0.92
7 lekseis;1.06;0;0;0;6.23;6.23;309;18;2;5.83;11.11;0.06;3.43;0;0;0;0;0;0;0.07;0.07
schoolcrush;1.06;0;0;0;0;0;366;91;3;24.86;3.3;0.01;2.9;0;0;0;0;0;0;0;0
cookingjoy;1.06;15.57;108.96;149.43;149.43;149.43;384;77;4;20.05;5.19;0.01;2.76;100;0;0;0.17;1.16;1.58;1.58;1.58
Football;1.05;0;0;0;0;0;14;3;2;21.43;66.67;0.35;75;0;100;0;0;0;0;0;0
Giraffe Evolution;1.05;0;0;0;0;0;22;5;2;22.73;40;0.21;47.73;100;0;0;0;0;0;0;0
soccer hit;1.05;0;0;0;0;0;36;5;3;13.89;60;0.21;29.17;0;100;0;0;0;0;0;0
tap money;1.05;15.71;15.71;15.71;15.71;15.71;38;5;3;13.16;60;0.21;27.63;100;0;0;0.17;0.17;0.17;0.17;0.17
????? ????;1.05;0;0;0;0;0;51;33;3;64.71;9.09;0.03;20.59;0;0;0;0;0;0;0;0
??;1.05;18.86;18.86;18.86;18.86;18.86;52;5;3;9.62;60;0.21;20.19;0;0;0;0.2;0.2;0.2;0.2;0.2
ø_™€øÇø‡ ™_ø_ø_ø_ø± ø_™‹™ƒø_ø±™€ø©;1.05;0;0;0;0;0;93;12;3;12.9;25;0.09;11.29;0;0;0;0;0;0;0;0
stick tennis;1.05;0;0;0;0;0;102;16;2;15.69;12.5;0.07;10.29;50;0;0;0;0;0;0;0
???? ????? ???????;1.05;0;0;0;0;0;116;16;3;13.79;18.75;0.07;9.05;0;0;0;0;0;0;0;0
Serial4Pics;1.05;0;0;0;0;0;137;23;3;16.79;13.04;0.05;7.66;0;0;0;0;0;0;0;0
sonic 1;1.05;0;0;0;0;0;174;64;3;36.78;4.69;0.02;6.03;0;0;0;0;0;0;0;0
cookie cats pop;1.05;15.71;15.71;15.71;15.71;15.71;238;10;2;4.2;20;0.11;4.41;100;100;0;0.17;0.17;0.17;0.17;0.17
_ì_Áã__Á _Ÿ__ãó_Á;1.05;0;0;0;79.2;79.2;436;41;4;9.4;9.76;0.03;2.41;100;33.3;0;0;0;0;0.83;0.83
ø_™€øÇø‡ ™_ø_ø_ø_ø± ø_™‹øµ™_ø±ø©;1.05;0;0;0;0;0;452;28;3;6.19;10.71;0.04;2.32;0;100;0;0;0;0;0;0
police ship transporter;1.04;31.73;31.73;31.73;31.73;31.73;32;16;2;50;12.5;0.07;32.5;100;0;0;0.33;0.33;0.33;0.33;0.33
